#{"t_start": 1735472402.996855, "env_id": "None"}
r,l,t
680.089224,230,0.895298
588.53722,230,1.299715
-125363.648455,230,1.719524
609.507752,230,2.121119
644.803764,230,2.514335
645.287039,230,2.902242
611.670389,230,3.29459
-125328.561888,230,3.680843
641.525762,230,5.068563
691.456363,230,5.464876
665.418183,230,5.858753
623.479692,230,6.258887
-125333.069102,230,6.648179
-125310.744567,230,7.037275
647.995861,230,7.636027
610.50514,230,8.030529
657.716584,230,8.426641
692.373355,230,9.726009
-125341.980196,230,10.204628
614.087297,230,10.606396
595.53095,230,10.997725
658.286231,230,11.388235
595.938472,230,11.780923
661.167087,230,12.179234
709.551379,230,12.570943
604.197829,230,12.99188
-125418.813512,230,14.683144
604.412726,230,15.078983
-125313.967744,230,15.479996
635.322054,230,15.908518
639.384837,230,16.444683
688.048758,230,16.856526
-251314.827245,230,17.272104
-125407.172172,230,17.673007
-251311.950038,230,18.067141
623.681093,230,19.894229
593.876661,230,20.366429
681.672345,230,20.797178
599.129069,230,21.234374
637.567698,230,21.654497
668.727712,230,22.123966
657.302079,230,22.554434
577.704482,230,23.06574
689.772063,230,25.71377
648.276925,230,27.452745
666.614055,230,27.868657
657.306001,230,28.264495
630.763794,230,28.66632
637.348065,230,29.06879
645.629945,230,29.478135
687.505223,230,29.875445
705.807294,230,30.405626
676.856202,230,30.924452
-125307.616467,230,32.439896
629.563347,230,32.828205
682.534768,230,33.258297
676.57495,230,33.662768
748.123907,230,34.062951
643.076434,230,34.467898
611.565048,230,34.878407
-125363.890422,230,35.2754
651.551524,230,35.685559
618.112775,230,37.190467
676.532627,230,37.612749
711.747562,230,38.008804
642.52291,230,38.399119
671.1079,230,38.81087
711.287489,230,39.214936
584.577215,230,39.617854
659.354733,230,40.066189
577.042883,230,40.488692
686.626858,230,41.902685
-125340.985145,230,42.298275
673.07896,230,42.695471
642.762407,230,43.109564
-125333.925656,230,43.531573
-125385.739947,230,43.984289
700.019867,230,44.523886
-125326.671081,230,44.998219
691.967672,230,45.451783
701.818064,230,46.98353
660.488386,230,47.397892
-125271.90655,230,47.810859
663.874258,230,48.223232
654.907716,230,48.621865
636.517079,230,49.070047
666.861643,230,51.483077
689.788526,230,51.881508
655.219805,230,52.280439
658.767417,230,53.624555
-125275.732387,230,54.135417
-125307.710677,230,54.579228
673.823726,230,54.99959
-125338.331134,230,55.40099
633.816228,230,55.82931
585.036226,230,56.235786
703.36844,230,56.687292
659.134621,230,58.08963
691.798545,230,58.482261
640.747835,230,58.881797
-125348.567763,230,59.303473
608.025538,230,59.728117
704.951651,230,60.123796
659.332203,230,60.556803
639.305047,230,60.9739
616.234237,230,61.394716
704.885544,230,62.798214
624.665487,230,63.196877
645.542411,230,63.60232
664.812967,230,64.029467
611.408992,230,64.444409
645.697692,230,64.833196
629.353054,230,65.228735
664.393918,230,65.632925
676.731219,230,66.029446
665.879589,230,67.433876
-125339.592778,230,67.828224
718.287507,230,68.226285
733.968592,230,68.619859
641.800693,230,69.080913
684.251033,230,69.495866
626.337104,230,69.905877
-125362.012284,230,70.317041
661.906312,230,70.734366
665.868431,230,72.162414
683.121726,230,72.578268
716.317054,230,72.987591
675.448751,230,73.430341
659.036709,230,73.860043
567.8491,230,74.282227
710.836343,230,76.724309
-125373.224055,230,77.160423
717.082287,230,77.555903
608.236747,230,78.898918
636.814807,230,79.299439
613.068533,230,79.732875
534.196638,230,80.148388
-125343.082558,230,80.553902
-125264.599106,230,80.953187
659.931003,230,81.36314
653.884972,230,81.770508
-125406.598291,230,82.22341
619.869532,230,83.691047
-251366.605812,230,84.100406
661.092472,230,84.520463
624.700496,230,84.943876
-125363.106974,230,85.34647
-125326.204913,230,85.746953
601.706829,230,86.189945
673.359341,230,86.60261
625.544121,230,87.001581
641.186846,230,88.375124
-125349.349435,230,88.774177
693.500318,230,89.19578
-125324.353717,230,89.716122
683.945044,230,90.13017
623.996578,230,90.735679
637.302787,230,91.132044
590.945732,230,91.527596
-125374.618866,230,91.954177
-251339.642943,230,93.322558
609.282146,230,93.720975
651.883453,230,94.185217
611.033418,230,94.751499
-125354.34101,230,95.216851
654.094608,230,95.641862
-125355.166019,230,96.031393
617.443145,230,96.431215
-125389.025615,230,96.830925
635.747765,230,98.336461
655.736296,230,98.747443
613.344291,230,99.158943
-125324.038299,230,99.554894
-125328.717779,230,101.96893
-251315.621257,230,102.357106
614.556095,230,102.747984
-125334.287916,230,103.142122
633.424053,230,103.566023
590.626153,230,104.938577
696.866385,230,105.371217
623.698891,230,105.799891
579.919216,230,106.189837
-125298.546948,230,106.574356
652.791265,230,106.970365
-125348.064822,230,107.384085
677.584958,230,107.803408
674.24198,230,109.191798
700.673694,230,109.613412
649.211213,230,110.003343
691.151892,230,110.412619
602.932918,230,110.831018
613.092148,230,111.241773
656.621451,230,111.631718
657.532975,230,112.063894
-125296.807331,230,112.451638
691.434122,230,113.809631
611.386716,230,114.209678
742.869063,230,114.627798
645.012156,230,115.040364
-251365.911413,230,115.459302
664.615707,230,115.88116
655.546809,230,116.305476
625.116099,230,116.698207
704.36933,230,117.103346
599.5988,230,118.600411
653.553556,230,119.025063
713.244443,230,119.420314
627.118305,230,119.839504
666.162383,230,120.262217
627.862988,230,120.709935
636.525015,230,121.113648
615.394993,230,121.503274
630.979892,230,121.906928
-125355.533094,230,123.270836
650.541509,230,123.683744
656.783971,230,124.1022
680.820281,230,124.499718
623.580621,230,127.073024
679.493131,230,127.490891
687.005486,230,127.940102
603.631745,230,128.362796
-125409.404814,230,128.762518
617.833822,230,130.212199
-125384.295446,230,130.657815
530.633939,230,131.090201
590.381959,230,131.54495
614.409179,230,131.966302
650.006978,230,132.369617
-125410.965142,230,132.756317
597.658204,230,133.165831
622.828222,230,133.576085
673.732085,230,134.959823
688.018976,230,135.395615
650.720164,230,135.823731
618.147421,230,136.252189
-125336.638013,230,136.676971
673.7327,230,137.075527
-125336.790245,230,137.465916
-125287.331576,230,137.878713
690.878297,230,138.310142
654.613244,230,139.7284
